row,col,value
81,92,8
40,97,1
61,46,1
0,0,2
0,4,7
20,53,5
82,1,3
61,55,8
20,60,4
82,13,3
82,15,1
20,71,1
0,25,7
41,23,4
82,23,5
20,80,5
82,25,3
20,82,3
41,28,5
61,82,5
20,88,8
20,90,8
20,91,7
20,92,1
61,88,5
20,94,4
20,97,6
61,95,1
61,96,2
61,98,3
41,50,7
41,53,5
62,2,2
41,56,8
0,69,2
41,66,6
82,66,9
0,76,9
62,22,4
82,77,2
21,34,1
0,89,8
0,93,2
0,94,2
21,45,5
82,92,2
41,97,2
82,93,3
21,51,6
42,10,8
62,59,8
42,12,4
1,16,5
42,14,2
1,15,7
83,8,1
62,66,7
83,22,3
83,23,2
21,80,9
1,31,2
62,77,2
42,32,8
21,85,1
21,87,8
83,32,6
62,97,9
1,59,8
42,56,1
63,5,7
22,15,4
1,68,2
83,61,8
63,15,2
63,16,1
1,71,4
22,25,1
1,80,7
42,76,6
22,29,7
42,77,6
83,77,2
83,78,2
22,33,4
42,84,4
22,36,8
1,89,8
63,33,7
83,84,3
42,89,5
42,90,4
63,38,5
1,96,2
63,41,5
42,93,9
83,96,8
22,54,6
63,52,7
84,1,5
2,11,1
84,6,5
22,63,6
63,60,6
2,15,9
63,64,4
84,12,4
22,70,1
63,69,5
84,18,2
43,23,7
84,22,6
43,28,3
84,25,5
63,77,8
43,31,5
22,84,2
84,29,7
2,38,1
2,39,2
63,85,8
63,86,1
63,89,8
2,46,9
22,94,2
43,44,2
23,0,1
84,47,7
64,0,5
84,48,6
84,54,3
23,10,1
23,12,4
43,58,1
43,62,6
84,62,8
2,73,9
43,69,5
64,19,3
64,22,7
2,79,4
43,77,2
23,30,5
64,27,3
23,33,9
43,82,6
43,85,5
43,88,1
43,89,6
23,42,2
23,41,4
2,95,8
84,92,7
64,45,8
84,94,8
64,47,6
44,1,5
3,5,2
85,4,4
64,62,8
85,11,6
85,12,2
3,19,1
85,18,2
85,21,2
3,30,6
44,27,8
64,74,7
3,38,6
44,36,7
3,42,8
85,39,9
85,40,9
85,41,6
3,49,5
3,50,3
24,0,7
3,54,7
85,48,7
3,57,1
65,7,2
85,56,8
85,55,4
44,62,8
85,58,4
85,59,4
65,13,4
85,63,1
44,69,7
44,70,1
44,71,6
3,76,6
85,70,9
3,79,6
44,76,9
24,30,9
3,83,8
44,78,9
65,30,4
24,35,1
3,88,8
24,37,3
85,79,7
24,39,4
24,40,6
3,94,5
85,87,9
65,40,9
24,44,2
65,41,3
24,47,3
44,95,8
65,45,9
85,94,5
4,3,2
4,4,3
65,49,2
45,8,4
4,14,8
65,60,9
4,16,6
24,68,3
65,70,9
4,28,3
86,22,1
86,23,2
65,78,9
65,81,7
45,33,2
4,40,6
65,89,6
45,42,8
45,45,8
4,52,6
65,97,7
45,52,3
4,56,8
25,6,2
86,50,8
66,4,4
25,8,3
66,7,3
86,56,6
66,9,3
86,59,9
45,63,1
66,14,3
66,15,4
4,72,9
66,17,8
86,64,6
86,68,2
86,70,2
66,22,2
45,77,9
86,78,1
66,31,2
45,83,7
45,95,1
45,96,9
5,3,5
46,3,1
86,99,5
66,55,1
66,60,6
46,12,8
46,15,8
66,68,4
25,76,1
25,77,6
87,23,4
5,34,6
25,87,5
66,86,1
87,35,4
87,37,4
46,44,4
25,96,3
25,98,7
66,92,1
5,49,3
87,45,9
46,50,2
66,99,7
46,56,9
26,10,4
26,14,1
67,13,8
46,66,6
87,67,2
67,22,1
67,23,1
67,24,3
46,79,7
46,81,3
87,80,6
67,33,8
26,40,1
67,36,2
5,97,1
46,94,6
26,45,5
67,45,3
87,94,3
26,52,6
6,7,2
88,0,1
26,56,9
26,59,9
67,58,1
26,64,5
47,16,3
67,70,5
47,27,8
26,81,5
6,36,6
6,43,7
47,40,8
67,88,4
6,44,5
88,45,2
47,50,5
27,3,4
67,97,9
6,58,9
88,52,7
6,62,5
6,64,2
27,13,6
88,57,5
68,14,9
6,75,1
27,34,5
