row,col,value
0,1,5
81,95,4
81,96,5
0,6,3
0,7,5
0,8,9
81,99,5
82,15,3
82,16,1
0,25,1
0,26,9
0,29,5
0,31,5
82,25,5
82,26,5
0,36,6
0,38,3
82,31,7
82,36,2
0,47,8
82,40,3
0,49,4
0,50,5
0,51,9
82,44,5
0,52,1
82,46,8
82,47,3
0,56,7
0,61,1
0,62,1
82,54,7
82,56,8
0,65,3
82,55,5
82,59,5
82,62,6
82,65,2
0,76,5
82,70,7
0,79,7
82,86,5
0,95,4
0,97,2
1,0,1
1,2,6
1,5,4
1,6,1
83,0,9
1,8,6
1,10,1
83,4,8
1,14,9
83,7,9
1,16,1
83,8,1
1,15,9
83,18,2
83,20,8
83,26,3
1,36,6
83,33,2
1,43,7
83,36,3
1,45,3
83,40,6
1,54,7
83,48,7
83,53,3
83,56,2
83,60,3
83,63,3
83,65,1
1,74,3
83,68,1
1,76,3
1,83,9
1,85,9
83,78,2
83,79,2
83,81,4
1,92,2
83,84,9
83,86,5
1,94,5
83,88,2
2,2,2
84,1,7
84,2,7
2,9,4
2,13,9
2,15,6
84,9,2
2,18,5
84,12,3
2,22,3
84,14,6
2,24,9
2,25,8
84,16,4
2,27,4
2,28,1
2,26,9
84,18,1
84,23,7
84,24,9
84,25,6
84,31,3
2,41,3
84,36,2
2,45,6
84,40,7
2,49,8
2,50,3
84,43,7
2,52,6
2,53,9
84,48,8
84,53,2
2,62,9
2,63,4
84,59,8
84,66,2
84,74,9
2,82,1
84,76,4
84,77,3
84,78,6
2,94,8
84,89,3
2,97,2
84,94,4
84,96,1
3,6,8
3,15,7
3,16,1
85,9,6
85,10,6
3,21,8
85,13,4
3,22,3
85,14,5
3,25,3
3,24,8
85,19,8
3,28,1
3,33,2
85,27,1
3,38,3
85,34,9
3,42,9
85,36,1
85,42,5
3,53,7
3,54,5
3,56,3
3,59,7
3,70,5
85,65,3
85,68,1
3,78,8
85,71,1
3,87,3
3,88,1
85,83,3
3,92,3
85,89,4
85,91,9
85,93,7
4,2,6
4,5,8
85,98,5
85,99,8
86,3,8
4,16,2
4,25,5
86,25,9
4,35,7
86,33,4
86,34,4
86,38,5
86,39,2
86,44,5
4,61,8
86,55,3
86,56,1
4,65,5
4,66,9
4,64,1
4,68,3
86,60,7
4,70,9
86,64,8
86,67,7
86,68,4
4,77,6
4,78,7
86,70,2
86,71,4
4,75,4
86,77,2
4,85,1
4,87,6
86,86,9
4,95,4
4,96,7
86,91,3
4,99,6
5,1,1
86,93,3
5,3,1
5,6,5
5,7,6
5,16,1
5,17,7
87,8,6
5,19,6
5,28,4
87,20,8
87,25,4
87,28,7
5,41,6
5,42,8
87,35,6
5,44,2
5,46,2
5,48,1
5,55,6
5,58,1
87,52,1
87,53,6
5,62,4
5,63,4
87,57,8
5,68,4
5,69,4
5,70,1
87,62,8
87,64,6
87,65,7
87,63,8
87,68,8
5,77,6
87,69,6
5,79,2
5,78,3
5,81,5
5,82,3
87,78,1
5,87,5
5,88,7
87,80,3
87,90,3
6,2,6
88,1,7
6,15,3
6,16,4
6,18,6
88,12,4
6,22,3
88,17,1
88,18,7
6,30,6
6,32,3
6,38,2
88,30,2
88,31,1
6,42,3
88,35,1
88,34,5
6,45,6
88,40,2
6,48,3
6,49,4
88,44,9
88,45,1
88,49,2
88,55,8
88,56,5
6,73,9
6,75,5
6,77,3
88,70,2
88,71,6
6,83,9
6,89,1
88,83,4
6,92,3
88,90,7
6,99,7
7,1,6
7,7,2
7,8,5
89,5,7
7,16,4
7,20,8
7,23,9
89,16,8
89,18,6
7,26,2
