row,col,value
20,49,3
61,51,6
41,8,7
0,18,8
20,69,1
20,72,2
82,31,5
82,34,9
41,41,6
21,1,7
61,98,8
41,55,3
62,5,8
62,11,4
0,69,1
82,63,5
62,22,3
0,86,1
21,45,3
1,3,9
1,13,1
83,7,4
21,68,3
21,70,3
21,71,4
62,70,4
83,19,2
21,83,2
42,33,3
83,32,3
62,84,2
42,40,1
42,49,2
62,99,1
83,47,1
1,57,8
83,51,2
1,72,9
42,69,7
42,79,9
22,39,1
83,83,5
42,90,2
83,87,6
63,41,2
22,50,4
22,55,4
2,8,3
84,3,9
84,9,3
63,68,7
22,82,6
22,83,7
84,28,9
43,31,6
2,41,1
63,91,4
43,49,8
23,12,5
84,57,4
84,64,1
43,69,5
43,71,5
2,81,6
84,76,8
23,33,3
23,34,4
64,30,7
2,90,8
84,83,9
84,88,1
43,92,7
44,3,7
85,0,4
3,9,1
3,12,1
64,56,9
64,64,8
85,14,6
64,70,1
3,30,1
64,74,9
85,29,7
23,87,1
3,39,8
85,34,1
85,39,4
64,93,1
44,46,6
3,61,8
44,58,6
3,64,4
85,57,3
44,72,8
85,77,8
65,30,9
24,44,7
65,41,7
3,99,7
4,8,8
86,5,5
65,64,2
65,65,1
65,70,7
24,74,3
45,24,2
24,76,4
65,75,5
45,30,3
65,83,4
86,32,1
24,89,5
4,47,4
45,43,2
86,41,6
65,96,1
86,46,9
45,59,4
4,67,3
25,24,4
66,25,6
45,78,3
86,79,9
86,82,3
66,39,7
25,44,6
86,90,1
25,55,7
66,54,3
25,59,5
87,8,7
66,62,2
5,21,2
25,69,4
87,15,5
46,21,7
46,24,4
87,30,8
5,39,1
87,41,9
25,99,1
26,1,1
5,64,2
26,20,8
87,67,6
5,79,7
26,45,7
26,54,4
6,13,6
67,58,3
67,62,2
88,16,2
47,23,2
47,24,8
67,72,8
67,79,3
47,35,2
47,48,2
88,49,6
6,67,5
47,73,8
27,27,7
88,72,5
6,85,8
6,86,4
88,79,7
6,90,9
27,41,1
47,92,7
88,90,7
88,91,7
47,98,2
47,99,7
88,96,5
68,46,2
89,2,3
89,5,7
7,13,7
68,59,7
89,9,4
48,13,7
89,11,2
27,71,4
68,68,9
27,75,1
89,20,9
27,78,3
7,37,8
27,87,3
68,86,4
89,35,9
7,48,5
28,0,8
48,49,7
48,52,6
69,4,6
89,59,6
69,12,4
48,65,2
7,70,3
69,17,7
89,67,8
89,68,9
48,74,7
28,41,9
89,86,6
89,89,3
89,90,3
28,50,5
49,7,7
69,59,5
8,17,9
28,69,2
90,13,5
8,23,3
28,71,7
49,24,5
90,22,9
8,31,4
28,83,2
49,33,4
49,35,6
49,39,5
8,45,4
8,46,6
49,45,5
49,46,6
90,42,6
49,53,1
90,52,1
70,10,2
8,66,2
90,58,1
29,15,1
70,15,5
29,21,1
90,72,7
90,75,9
29,32,9
90,82,1
49,86,3
90,89,5
50,6,9
70,56,7
9,22,7
91,14,2
70,67,9
70,74,3
91,23,2
29,83,7
70,82,8
29,86,6
9,39,2
50,39,6
91,37,5
29,96,7
71,6,6
9,64,6
71,13,6
9,75,9
91,83,1
30,44,3
91,91,2
50,97,1
71,45,4
10,3,6
91,98,4
10,9,5
92,1,7
51,10,4
10,28,1
92,24,5
10,35,4
51,31,5
10,49,1
51,53,5
10,61,6
51,62,3
72,11,2
31,16,7
31,18,8
51,69,6
31,30,1
51,83,8
51,84,7
31,37,8
31,38,9
10,91,1
51,89,6
51,93,1
31,52,3
52,14,4
31,70,2
72,70,8
72,74,3
52,34,6
72,85,5
52,46,2
11,52,5
52,54,1
73,4,4
11,60,6
52,58,7
11,68,2
32,20,6
93,65,3
52,73,1
52,75,4
73,26,7
11,83,4
32,40,9
32,42,5
52,91,4
93,95,3
53,11,3
73,59,3
12,16,1
73,62,2
73,66,5
12,29,7
94,27,9
12,41,4
32,92,7
53,45,5
53,54,8
94,53,7
94,54,6
94,63,5
53,72,4
53,77,6
33,44,2
74,44,9
74,47,5
13,4,2
95,1,2
95,3,8
95,4,1
13,13,6
95,6,3
74,55,9
13,19,5
95,16,5
74,73,5
54,31,8
54,32,3
95,35,3
33,93,2
33,99,1
13,52,3
74,96,2
13,58,5
95,55,1
13,68,4
95,74,5
75,31,7
54,83,2
75,33,6
75,38,7
75,44,8
54,97,4
14,6,8
